Timestamp ,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10,Region 11,Region 12,Region 13,Region 14,Region 15,Region 16,Region 17,Region 18,Region 19,Region 20,Region 21,Region 22,Region 23,Region 24,Region 25,Region 26,Region 27,Region 28,Region 29,Region 30,Region 31,Region 32
0.077048,55,176,54,221,54,558,53,156,54,278,54,350,54,191,54,160,55,300,54,371,54,407,54,466,54,360,54,322,54,412,54,348
0.326359,54,145,54,195,53,490,54,173,55,269,54,271,54,204,55,142,54,249,54,387,54,440,55,524,54,413,54,349,54,428,54,335
0.575671,55,163,53,196,53,482,54,160,55,330,55,276,55,235,55,172,53,275,53,333,54,463,55,446,55,335,55,285,53,462,54,315
0.824982,54,151,55,184,53,521,54,150,56,267,54,322,54,219,56,163,54,247,54,325,54,456,55,460,54,364,54,341,54,398,55,344
1.074294,54,227,54,190,53,466,53,152,55,333,54,297,54,240,55,172,54,282,54,362,55,424,54,470,54,398,54,330,55,461,54,416
1.323605,54,210,53,180,53,412,53,165,54,330,54,360,54,225,55,206,54,267,54,362,54,447,56,441,54,381,55,376,53,347,54,372
1.572916,53,148,55,214,54,468,53,146,54,358,55,330,53,214,55,195,53,218,53,342,53,446,55,446,53,393,55,346,53,465,54,373
1.822228,53,143,54,243,52,433,54,171,55,286,54,230,54,195,56,216,54,261,53,381,54,462,55,447,54,443,54,349,55,439,54,435
2.071539,54,190,53,206,54,408,52,180,54,372,54,319,54,243,54,163,54,293,53,367,54,471,54,459,54,373,54,319,54,410,54,400
2.320851,54,147,54,254,54,447,53,172,54,383,53,294,54,245,55,181,54,264,54,282,54,503,55,502,55,391,55,347,54,418,54,367
2.570162,54,149,54,230,53,411,53,158,54,355,54,343,54,269,54,186,54,311,52,340,54,505,54,457,55,421,54,303,53,472,53,369
2.819473,53,187,53,244,53,464,54,167,55,313,54,312,54,223,55,184,55,278,55,344,54,544,55,472,54,390,54,369,55,487,54,349
3.068785,53,145,52,263,53,435,54,163,54,313,53,335,54,242,55,206,54,273,54,366,54,514,54,471,54,383,55,335,54,411,54,308
3.318096,55,189,54,221,54,492,54,163,55,300,53,360,53,244,55,195,54,217,54,376,54,523,55,460,54,404,54,297,53,444,55,291
3.567408,54,189,55,272,53,463,53,160,54,357,53,273,55,227,55,210,54,275,53,413,53,519,55,478,54,412,54,346,53,422,54,258
3.816719,54,183,54,231,54,500,54,180,55,282,55,313,54,220,54,220,55,277,54,361,54,502,54,464,54,389,54,314,53,434,54,314
4.066031,53,209,54,258,53,456,53,124,55,313,53,317,54,267,54,207,54,278,54,354,53,549,55,458,54,412,54,336,54,467,54,318
4.315342,54,196,54,281,53,527,53,146,54,335,53,317,54,248,55,174,54,293,54,375,53,565,55,448,55,381,54,361,53,492,54,301
4.564653,53,155,53,243,54,454,52,195,54,274,54,358,54,250,54,206,54,300,54,372,54,559,54,499,55,410,54,356,54,489,55,279
4.813965,54,185,55,292,52,532,54,208,55,266,54,340,54,249,55,189,56,272,55,405,54,613,54,456,53,375,54,310,54,467,54,309
5.063276,54,130,55,254,54,535,54,186,54,338,54,352,54,274,55,172,55,254,54,385,54,529,55,479,54,391,54,309,55,385,54,291
5.312588,53,162,54,224,53,417,53,186,54,315,54,307,55,289,55,180,55,289,54,402,54,591,55,446,54,340,55,336,54,398,54,397
5.561899,54,149,53,222,53,521,53,199,55,355,54,360,54,261,55,221,54,243,54,327,53,546,55,464,55,392,55,355,53,464,54,399
5.811210,53,173,56,220,53,501,54,214,56,343,54,317,54,230,54,178,55,240,55,352,53,605,55,501,54,361,54,347,54,434,53,408
6.060522,53,195,53,236,53,459,52,172,55,361,54,302,54,287,55,185,54,257,53,396,54,616,54,431,54,424,53,341,53,354,53,493
6.309833,54,178,53,200,54,496,53,146,54,373,53,334,54,279,55,177,54,293,53,331,54,559,55,479,54,370,54,352,54,403,54,493
